path,fingerprint,stage_keys,n_urls,coverage_pct,item_types,institutions,periods,example_url,example_paths
B_flat_stages,8c1586bcdac74ee0e90de4c366dec844,date|fsth|priority|reden|text,1,0.2,E,NR,recent,/gegenstand/XXVIII/E/53,"approvalstate, breadcrumbs, breadcrumbs[].title, breadcrumbs[].url, deleted, description, documents, documents[].documents"
B_flat_stages,8c1586bcdac74ee0e90de4c366dec844,date|fsth|priority|text,1,0.2,E,NR,recent,/gegenstand/XXVIII/E/8,"approvalstate, breadcrumbs, breadcrumbs[].title, breadcrumbs[].url, deleted, description, documents, documents[].documents"
B_flat_stages,78c73032ac99409f1fdb38eca3bccbe7,date|priority|text,1,0.2,SINF,NR,recent,/gegenstand/XXVII/SINF/53,"approvalstate, breadcrumbs, breadcrumbs[].title, breadcrumbs[].url, deleted, description, documents, documents[].documents"
B_flat_stages,d3b1c9a182260dc24f9cf43fcaedcb7f,date|fsth|text,1,0.2,GO-BR,BR,recent,/gegenstand/BR/GO-BR/2383,"approvalstate, breadcrumbs, breadcrumbs[].title, breadcrumbs[].url, deleted, description, doktyp, einlangen"
B_flat_stages,476212fb643c49dfed121f25b9fae96e,date|fsth|priority|text,1,0.2,LHER-BR,BR,recent,/gegenstand/BR/LHER-BR/47,"approvalstate, breadcrumbs, breadcrumbs[].title, breadcrumbs[].url, deleted, description, doktyp, einlangen"
B_flat_stages,3c37caaf67debc0ad1d4ddb47c1eb196,date|fsth|priority|text,1,0.2,RGER-BR,BR,recent,/gegenstand/BR/RGER-BR/43,"approvalstate, breadcrumbs, breadcrumbs[].title, breadcrumbs[].url, deleted, description, doktyp, einlangen"
B_flat_stages,5336f4ad731945d4a6bf3f4abb660829,date|fsth|priority|text,1,0.2,AEA-BR,BR,recent,/gegenstand/BR/AEA-BR/6,"approvalstate, breadcrumbs, breadcrumbs[].title, breadcrumbs[].url, deleted, description, doktyp, einlangen"
B_flat_stages,7ce88e0e0073fd7473d8a0b88b6a514a,date|fsth|priority|text,1,0.2,M-BR,BR,recent,/gegenstand/BR/M-BR/1950,"approvalstate, breadcrumbs, breadcrumbs[].title, breadcrumbs[].url, deleted, description, documents, documents[].documents"
B_flat_stages,5336f4ad731945d4a6bf3f4abb660829,date|priority|text,1,0.2,BS-BR,BR,recent,/gegenstand/BR/BS-BR/7,"approvalstate, breadcrumbs, breadcrumbs[].title, breadcrumbs[].url, deleted, description, doktyp, einlangen"
B_flat_stages,7f1e3d8d685efc5a567b7a6d5c2d8850,date|priority|text,1,0.2,SN,NR,recent,/gegenstand/XXVIII/SN/688,"appformlink, approvals, approvals.filter, approvals.filter.data, approvals.filter.rendertype, approvals.new, approvals.personform, approvals.personform.data"
B_flat_stages,9097796fcee493b42e75a2c89658ed72,date|text,1,0.2,SNME,NR,recent,/gegenstand/XXVIII/SNME/2406,"approvals, approvals.filter, approvals.filter.data, approvals.filter.rendertype, approvals.new, approvals.reportform, approvals.reportform.data, approvals.reportform.rendertype"
B_flat_stages,ceae3212e6164241090f1c3ea80a2d05,date|fsth|priority|text,1,0.2,BUV,NR,recent,/gegenstand/XXVIII/BUV/5,"approvalstate, breadcrumbs, breadcrumbs[].title, breadcrumbs[].url, deleted, description, documents, documents[].documents"
C_no_stages,d53816f8bbb537ddcbf29421266e7f7a,NA,1,0.2,A,NR,mid,/gegenstand/XVIII/A/338,"approvalstate, breadcrumbs, breadcrumbs[].title, breadcrumbs[].url, deleted, documents, documents[].documents, documents[].documents[].link"
C_no_stages,ca9d3077c1f2908115ee3a273f0b49b9,NA,1,0.2,RGER,NR,mid,/gegenstand/XIX/RGER/11,"approvalstate, breadcrumbs, breadcrumbs[].title, breadcrumbs[].url, deleted, doktyp, einlangen, gp_code"
